sample,site,population
NSW1008199,Wambam_Creek,5
NSW1008169,Wambam_Creek,5
NSW1008189,Wambam_Creek,5
NSW1008229,Wambam_Creek,5
NSW1008224,Wambam_Creek,5
NSW1009574,Wambam_Creek,5
NSW1078503,Murramurang_NP,5
NSW1079543,Murramurang_NP,5
NSW1079384,Murramurang_NP,5
NSW1079559,Murramurang_NP,5
NSW1079548,Murramurang_NP,5
NSW1079390,Murramurang_NP,5
NSW1011352,Clyde_Mountain,5
NSW1011262,Clyde_Mountain,5
NSW1011263,Clyde_Mountain,5
NSW1011351,Clyde_Mountain,5
NSW1008223,Conjola,5
NSW1007981,Conjola,5
NSW1008160,Conjola,5
NSW1009182,Conjola,5
NSW1008511,Conjola,5
NSW1009222,Conjola,5
NSW1007973,Conjola,5
NSW1009385,Wandean_Gap,5
NSW1008322,Wandean_Gap,5
NSW1017165,Cambewarra,5
NSW1017185,Cambewarra,5
NSW1017234,Cambewarra,5
NSW1017239,Cambewarra,5
NSW1017244,Cambewarra,5
NSW1017198,Broughton,5
NSW1017183,Broughton,5
NSW1017173,Broughton,5
NSW1017193,Broughton,5
NSW1017188,Broughton,5
NSW1007957,Fitzroy_Falls,5
NSW1007962,Fitzroy_Falls,5
NSW1008064,Fitzroy_Falls,5
NSW1008194,Fitzroy_Falls,5
NSW1008205,Fitzroy_Falls,5
NSW1009206,Fitzroy_Falls,5
NSW932242,Minnamurra,5
NSW1008420,Macquarie_Pass,5
NSW1007850,Macquarie_Pass,5
NSW1007818,Macquarie_Pass,5
NSW1007845,Macquarie_Pass,5
NSW1008351,Mt_Keira,5
NSW1008326,Mt_Keira,5
NSW1008363,Mt_Keira,5
NSW1013833,Wodi_Wodi_Tk,5
NSW1013823,Wodi_Wodi_Tk,5
NSW1013792,Wodi_Wodi_Tk,5
NSW1014712,Wodi_Wodi_Tk,5
NSW1013808,Wodi_Wodi_Tk,5
NSW1014944,Wodi_Wodi_Tk,5
NSW828558,Royal_NP,5
NSW932246,Royal_NP,5
NSW1013010,Mt_Tomah,4
NSW1013014,Mt_Tomah,4
NSW1013019,Mt_Tomah,4
NSW1013049,Mt_Tomah,4
NSW1008419,Katandra_NR,4
NSW828518,Katandra_NR,4
NSW1007168,Katandra_NR,4
NSW1007143,Katandra_NR,4
NSW932487,Strickland_SF,4
NSW1007146,Strickland_SF,4
NSW1007858,Strickland_SF,4
NSW1007136,Strickland_SF,4
NSW1007888,Strickland_SF,4
NSW1007893,Strickland_SF,4
NSW1011576,Palm_Grove,4
NSW1011578,Palm_Grove,4
NSW1011575,Palm_Grove,4
NSW1015319,Palm_Grove,4
NSW1011577,Palm_Grove,4
NSW1015314,Palm_Grove,4
NSW1011556,Olney_SF,4
NSW1011557,Olney_SF,4
NSW1011583,Olney_SF,4
NSW1011584,Olney_SF,4
NSW1011585,Olney_SF,4
NSW1011586,Olney_SF,4
NSW1011677,Wang_Wauk_SF,4
NSW1011688,Wang_Wauk_SF,4
NSW1024332,Wollemi_NP,4
NSW1024334,Wollemi_NP,4
NSW1024335,Wollemi_NP,4
NSW1008154,Jerusalem_Tk,3
NSW1008159,Jerusalem_Tk,3
NSW1009530,Jerusalem_Tk,3
NSW1009559,Jerusalem_Tk,3
NSW1011388,Jerusalem_Tk,3
NSW1011672,Glen_NR,3
NSW1011673,Glen_NR,3
NSW1013725,Glen_NR,3
NSW1015634,Gloucester_Tops,3
NSW1015644,Gloucester_Tops,3
NSW1015662,Gloucester_Tops,3
NSW1015673,Gloucester_Tops,3
NSW1015687,Gloucester_Tops,3
NSW1015688,Gloucester_Tops,3
NSW1012685,Big_Nellie,3
NSW1012675,Big_Nellie,3
NSW1012734,Big_Nellie,3
NSW1012738,Big_Nellie,3
NSW1012704,Big_Nellie,3
NSW1017503,Dingo_Tops,3
NSW1017501,Dingo_Tops,3
NSW1011568,Dingo_Tops,3
